Time_label,Median_minutter,Antal_ture,Kategori,Periode
00:00-01:00,14.3,13981,Gul,Nat
01:00-02:00,14.3,12953,Gul,Nat
02:00-03:00,14.4,11702,Gul,Nat
03:00-04:00,14.1,10504,Gul,Nat
04:00-05:00,13.6,9801,Gul,Nat
05:00-06:00,13.9,9898,Gul,Nat
06:00-07:00,14.6,11483,Gul,Morgen
07:00-08:00,13.3,15643,Gul,Morgen
08:00-09:00,12.2,24732,Gul,Morgen
09:00-10:00,12.5,28244,Gul,Formiddag
10:00-11:00,13.2,29404,Gul,Formiddag
11:00-12:00,13.5,29536,Gul,Formiddag
12:00-13:00,13.3,29179,Gul,Middag
13:00-14:00,13.3,26794,Gul,Eftermiddag
14:00-15:00,13.7,26606,Gul,Eftermiddag
15:00-16:00,13.6,24813,Gul,Eftermiddag
16:00-17:00,13.4,25053,Gul,Eftermiddag
17:00-18:00,13.1,25194,Gul,Eftermiddag
18:00-19:00,13.5,24320,Gul,Aften
19:00-20:00,13.8,23502,Gul,Aften
20:00-21:00,13.6,23088,Gul,Aften
21:00-22:00,14.0,22230,Gul,Aften
22:00-23:00,14.3,19428,Gul,Aften
23:00-00:00,14.9,15697,Gul,Aften
