Time_label,Median_minutter,Antal_ture,Kategori,Periode
00:00-01:00,12.2,9297,Gul,Nat
01:00-02:00,12.2,8698,Gul,Nat
02:00-03:00,12.3,8011,Gul,Nat
03:00-04:00,12.0,7102,Gul,Nat
04:00-05:00,12.1,6435,Gul,Nat
05:00-06:00,12.6,6450,Gul,Nat
06:00-07:00,12.5,7946,Gul,Morgen
07:00-08:00,11.8,10886,Gul,Morgen
08:00-09:00,10.9,20804,Gul,Morgen
09:00-10:00,11.8,22418,Gul,Formiddag
10:00-11:00,12.2,22963,Gul,Formiddag
11:00-12:00,12.2,23735,Gul,Formiddag
12:00-13:00,12.6,22587,Gul,Middag
13:00-14:00,12.4,19618,Gul,Eftermiddag
14:00-15:00,12.3,20134,Gul,Eftermiddag
15:00-16:00,12.4,18915,Gul,Eftermiddag
16:00-17:00,11.9,16862,Gul,Eftermiddag
17:00-18:00,11.9,17153,Gul,Eftermiddag
18:00-19:00,11.8,17274,Gul,Aften
19:00-20:00,11.8,16681,Gul,Aften
20:00-21:00,11.6,15703,Gul,Aften
21:00-22:00,11.9,14751,Gul,Aften
22:00-23:00,12.1,13620,Gul,Aften
23:00-00:00,12.1,11306,Gul,Aften
