Time_label,Median_minutter,Antal_ture,Kategori,Periode
00:00-01:00,8.5,10484,Grøn,Nat
01:00-02:00,8.6,9529,Grøn,Nat
02:00-03:00,8.6,8620,Grøn,Nat
03:00-04:00,8.8,7792,Grøn,Nat
04:00-05:00,8.9,7083,Grøn,Nat
05:00-06:00,9.0,7399,Grøn,Nat
06:00-07:00,9.2,8946,Grøn,Morgen
07:00-08:00,8.6,11847,Grøn,Morgen
08:00-09:00,8.0,21711,Grøn,Morgen
09:00-10:00,8.3,22835,Grøn,Formiddag
10:00-11:00,8.5,22596,Grøn,Formiddag
11:00-12:00,8.7,23075,Grøn,Formiddag
12:00-13:00,8.7,21134,Grøn,Middag
13:00-14:00,8.7,18979,Grøn,Eftermiddag
14:00-15:00,8.8,19539,Grøn,Eftermiddag
15:00-16:00,8.8,17604,Grøn,Eftermiddag
16:00-17:00,8.4,16888,Grøn,Eftermiddag
17:00-18:00,8.3,17164,Grøn,Eftermiddag
18:00-19:00,8.4,17714,Grøn,Aften
19:00-20:00,8.2,16921,Grøn,Aften
20:00-21:00,8.2,15980,Grøn,Aften
21:00-22:00,8.2,14778,Grøn,Aften
22:00-23:00,8.4,13416,Grøn,Aften
23:00-00:00,8.5,11266,Grøn,Aften
