Postnummer,Median_minutter,Antal_ture
5602,126.0,1
5601,92.3,1
8789,65.6,17
5943,57.6,4
8799,52.3,15
1062,48.4,1
4305,47.6,191
4245,45.7,16
5603,44.6,2
8592,44.3,9
1971,41.9,2
1959,40.6,1
1126,39.7,3
4944,39.5,40
1624,38.8,5
1326,38.2,1
1672,37.6,5
1777,36.9,2
1403,36.7,4
1162,36.6,6
1125,36.5,2
1867,36.1,1
1738,35.5,14
1921,35.4,2
4942,35.0,8
1558,34.8,6
1435,34.8,14
1464,34.1,6
1739,34.0,3
1323,34.0,2
7884,33.9,113
1266,33.6,6
1901,33.6,7
1301,33.5,20
1427,32.7,7
4945,32.6,8
1965,32.3,2
1807,31.9,8
1618,31.8,14
1441,31.7,14
1166,31.6,6
1567,31.4,5
8970,31.2,304
1206,31.2,6
1116,31.1,14
1430,31.1,43
7540,31.0,171
1868,30.8,15
7790,30.7,452
1573,30.6,12
1770,30.5,8
1563,30.3,4
1439,30.3,18
1432,30.1,297
1569,30.0,8
1268,30.0,6
1154,29.9,30
1216,29.8,16
1059,29.7,2
1365,29.6,7
9370,29.5,1183
1440,29.4,222
1173,29.4,8
1423,29.2,6
1201,29.1,29
9280,28.9,986
1463,28.9,5
1257,28.9,11
9631,28.8,212
4583,28.7,394
1927,28.6,2
1616,28.6,13
1205,28.6,4
9352,28.5,207
1064,28.5,2
3150,28.4,81
4874,28.4,339
1214,28.4,2
8350,28.2,78
4895,28.2,124
9881,28.2,464
1805,28.2,7
1725,28.2,12
7280,28.1,224
1631,28.1,13
1815,28.1,11
1320,28.1,1
4894,28.1,104
8654,28.0,183
1877,27.9,5
1408,27.8,61
1207,27.8,6
2942,27.8,286
7960,27.7,121
5935,27.7,171
9982,27.7,423
1763,27.7,37
7650,27.6,106
1568,27.6,31
1461,27.6,4
1622,27.6,6
1438,27.6,53
7270,27.5,65
1736,27.5,4
9750,27.4,316
4243,27.4,207
8320,27.4,506
1311,27.3,41
1664,27.3,3
4943,27.3,105
1571,27.2,12
7741,27.2,230
1120,27.2,16
1426,27.2,128
9293,27.2,289
4880,27.1,626
9681,27.1,324
4130,27.0,806
8330,27.0,488
9480,27.0,1006
1774,27.0,6
7470,26.9,794
8860,26.9,440
1072,26.8,5
8420,26.8,552
1252,26.8,9
7850,26.8,384
1816,26.8,17
2150,26.8,426
1151,26.7,9
6990,26.7,856
1418,26.7,12
1063,26.6,11
1406,26.6,5
1904,26.6,49
1420,26.6,80
1732,26.5,1
1737,26.5,20
1129,26.5,2
1773,26.5,2
4262,26.4,272
1772,26.4,6
1152,26.4,27
8340,26.3,503
1824,26.3,16
1756,26.3,22
9362,26.2,283
4295,26.2,630
3080,26.2,166
3751,26.1,177
1829,26.1,19
1153,26.1,33
1434,26.1,30
1726,26.1,26
1658,26.1,94
1730,26.0,8
1401,26.0,205
4480,26.0,211
1473,26.0,13
7730,26.0,565
2635,26.0,3253
1468,25.9,23
8983,25.9,350
7830,25.9,1020
1766,25.9,2
1402,25.8,43
1715,25.8,35
8355,25.8,494
7680,25.8,319
1677,25.7,6
6973,25.7,130
8882,25.7,215
1053,25.7,12
2840,25.7,1852
3220,25.6,346
1656,25.6,125
4140,25.6,931
2930,25.6,628
1422,25.6,244
2660,25.6,1855
4592,25.5,5
1905,25.5,16
6920,25.5,1037
8581,25.5,194
1764,25.5,38
4792,25.5,251
1210,25.5,55
9240,25.5,1365
1312,25.5,3
1300,25.5,161
1254,25.5,39
1428,25.4,26
4281,25.4,1010
2950,25.4,919
1409,25.4,4
9300,25.4,1962
9620,25.4,745
6971,25.4,344
1161,25.3,35
1811,25.3,1
7660,25.3,156
1916,25.3,17
2830,25.3,2050
1416,25.3,55
4360,25.2,140
9981,25.2,200
4250,25.2,709
1410,25.2,135
8585,25.1,580
1070,25.1,25
3140,25.1,736
1667,25.1,14
8300,25.1,2654
9510,25.0,654
1663,25.0,84
3100,25.0,1021
7742,25.0,139
4050,25.0,1347
3210,25.0,706
1826,25.0,28
9430,24.9,514
4293,24.9,943
5953,24.9,506
9740,24.9,309
1873,24.9,2
1874,24.9,38
4850,24.9,846
4171,24.9,535
1724,24.8,9
