Postnummer,Gennemsnit_minutter,Antal_ture,Region,Kategori,Note
7700,10.2,3856,Nordjylland,Gul,
7730,17.4,575,Nordjylland,Rød,
7741,18.5,216,Nordjylland,Rød,
7742,16.3,155,Nordjylland,Rød,
7752,14.6,712,Nordjylland,Gul,
7755,14.0,336,Nordjylland,Gul,
7760,11.2,763,Nordjylland,Gul,
7770,15.4,293,Nordjylland,Rød,
7900,10.5,2231,Nordjylland,Gul,
7950,11.3,539,Nordjylland,Gul,
7960,17.0,124,Nordjylland,Rød,
7970,16.1,84,Nordjylland,Rød,
7980,13.3,65,Nordjylland,Gul,
7990,17.8,150,Nordjylland,Rød,
8981,27.5,1,Nordjylland,Rød,*
8990,10.8,1,Nordjylland,Gul,*
9000,8.0,9680,Nordjylland,Grøn,
9200,9.7,1335,Nordjylland,Grøn,
9210,8.8,1540,Nordjylland,Grøn,
9220,10.7,2314,Nordjylland,Gul,
9230,12.6,1287,Nordjylland,Gul,
9240,15.0,1331,Nordjylland,Rød,
9260,12.5,684,Nordjylland,Gul,
9270,13.3,464,Nordjylland,Gul,
9280,16.4,956,Nordjylland,Rød,
9293,15.0,317,Nordjylland,Rød,
9300,13.7,1887,Nordjylland,Gul,
9310,12.7,1206,Nordjylland,Gul,
9320,13.7,735,Nordjylland,Gul,
9330,12.7,1047,Nordjylland,Gul,
9340,13.9,287,Nordjylland,Gul,
9352,16.4,222,Nordjylland,Rød,
9362,12.9,299,Nordjylland,Gul,
9370,11.7,1137,Nordjylland,Gul,
9380,12.1,268,Nordjylland,Gul,
9381,13.4,265,Nordjylland,Gul,
9382,12.9,256,Nordjylland,Gul,
9400,9.1,3494,Nordjylland,Grøn,
9430,13.1,528,Nordjylland,Gul,
9440,13.6,1474,Nordjylland,Gul,
9460,9.8,1464,Nordjylland,Grøn,
9480,16.7,962,Nordjylland,Rød,
9490,11.2,1087,Nordjylland,Gul,
9492,14.9,428,Nordjylland,Gul,
9493,12.7,260,Nordjylland,Gul,
9500,9.8,3095,Nordjylland,Grøn,
9510,14.7,606,Nordjylland,Gul,
9520,13.9,675,Nordjylland,Gul,
9530,10.3,1448,Nordjylland,Gul,
9541,14.1,365,Nordjylland,Gul,
9550,14.2,862,Nordjylland,Gul,
9560,12.7,1839,Nordjylland,Gul,
9574,12.3,150,Nordjylland,Gul,
9575,9.6,380,Nordjylland,Grøn,
9600,9.5,1860,Nordjylland,Grøn,
9610,14.1,539,Nordjylland,Gul,
9620,10.9,758,Nordjylland,Gul,
9631,13.5,219,Nordjylland,Gul,
9640,10.2,1343,Nordjylland,Gul,
9670,12.2,1247,Nordjylland,Gul,
9681,16.0,289,Nordjylland,Rød,
9690,11.9,1367,Nordjylland,Gul,
9700,10.7,2812,Nordjylland,Gul,
9740,14.7,348,Nordjylland,Gul,
9750,14.6,407,Nordjylland,Gul,
9760,13.9,812,Nordjylland,Gul,
9800,9.6,4665,Nordjylland,Grøn,
9830,13.6,476,Nordjylland,Gul,
9850,14.8,1614,Nordjylland,Gul,
9870,13.9,1064,Nordjylland,Gul,
9881,17.4,428,Nordjylland,Rød,
9900,9.3,5090,Nordjylland,Grøn,
9940,11.2,361,Nordjylland,Gul,
9970,15.1,311,Nordjylland,Rød,
9981,14.5,230,Nordjylland,Gul,
9982,16.2,408,Nordjylland,Rød,
9990,8.7,1680,Nordjylland,Grøn,
1050,8.5,182,Hovedstaden,Grøn,
1051,9.7,96,Hovedstaden,Grøn,
1052,10.0,23,Hovedstaden,Gul,*
1053,10.4,12,Hovedstaden,Gul,*
1054,9.7,30,Hovedstaden,Grøn,*
1055,8.4,18,Hovedstaden,Grøn,*
1056,8.9,11,Hovedstaden,Grøn,*
1057,7.8,28,Hovedstaden,Grøn,*
1058,9.1,58,Hovedstaden,Grøn,
1059,11.0,6,Hovedstaden,Gul,*
1060,8.5,12,Hovedstaden,Grøn,*
1061,9.6,8,Hovedstaden,Grøn,*
1063,11.1,14,Hovedstaden,Gul,*
1064,5.1,1,Hovedstaden,Grøn,*
1065,7.0,2,Hovedstaden,Grøn,*
1066,6.9,7,Hovedstaden,Grøn,*
1067,9.3,6,Hovedstaden,Grøn,*
1068,7.9,8,Hovedstaden,Grøn,*
1069,8.2,18,Hovedstaden,Grøn,*
1070,8.9,23,Hovedstaden,Grøn,*
1071,8.4,6,Hovedstaden,Grøn,*
1072,9.7,1,Hovedstaden,Grøn,*
1073,8.0,2,Hovedstaden,Grøn,*
1074,8.0,23,Hovedstaden,Grøn,*
1100,9.1,41,Hovedstaden,Grøn,*
1101,9.0,38,Hovedstaden,Grøn,*
1103,7.5,8,Hovedstaden,Grøn,*
1104,10.8,13,Hovedstaden,Gul,*
1105,8.6,7,Hovedstaden,Grøn,*
1106,5.7,3,Hovedstaden,Grøn,*
1107,8.0,14,Hovedstaden,Grøn,*
1110,8.9,22,Hovedstaden,Grøn,*
1111,6.7,3,Hovedstaden,Grøn,*
1112,9.7,54,Hovedstaden,Grøn,
1113,8.7,14,Hovedstaden,Grøn,*
1114,10.6,8,Hovedstaden,Gul,*
1115,9.3,7,Hovedstaden,Grøn,*
1116,9.9,11,Hovedstaden,Grøn,*
1117,8.2,59,Hovedstaden,Grøn,
1118,9.4,33,Hovedstaden,Grøn,*
1119,9.6,26,Hovedstaden,Grøn,*
1120,8.5,16,Hovedstaden,Grøn,*
1122,7.0,1,Hovedstaden,Grøn,*
1123,8.2,185,Hovedstaden,Grøn,
1124,7.2,22,Hovedstaden,Grøn,*
1125,10.2,3,Hovedstaden,Gul,*
1126,6.2,2,Hovedstaden,Grøn,*
1127,8.0,8,Hovedstaden,Grøn,*
1128,9.1,4,Hovedstaden,Grøn,*
1129,13.7,3,Hovedstaden,Gul,*
1130,6.7,16,Hovedstaden,Grøn,*
1131,5.7,4,Hovedstaden,Grøn,*
1150,8.8,58,Hovedstaden,Grøn,
1151,6.9,8,Hovedstaden,Grøn,*
1152,10.6,12,Hovedstaden,Gul,*
1153,10.4,14,Hovedstaden,Gul,*
1154,8.7,13,Hovedstaden,Grøn,*
1155,6.4,2,Hovedstaden,Grøn,*
1156,13.9,2,Hovedstaden,Gul,*
1157,9.9,8,Hovedstaden,Grøn,*
1158,7.8,6,Hovedstaden,Grøn,*
1159,9.6,75,Hovedstaden,Grøn,
1160,10.3,43,Hovedstaden,Gul,*
1161,10.5,24,Hovedstaden,Gul,*
1162,10.4,1,Hovedstaden,Gul,*
1164,7.4,12,Hovedstaden,Grøn,*
1165,7.9,117,Hovedstaden,Grøn,
1166,6.8,1,Hovedstaden,Grøn,*
1167,6.0,5,Hovedstaden,Grøn,*
1168,9.3,4,Hovedstaden,Grøn,*
1169,10.3,19,Hovedstaden,Gul,*
1170,7.9,14,Hovedstaden,Grøn,*
1171,9.6,46,Hovedstaden,Grøn,*
1172,11.4,27,Hovedstaden,Gul,*
1173,10.7,8,Hovedstaden,Gul,*
1174,10.8,8,Hovedstaden,Gul,*
1175,7.6,22,Hovedstaden,Grøn,*
1200,8.9,18,Hovedstaden,Grøn,*
1201,11.5,24,Hovedstaden,Gul,*
1202,9.0,32,Hovedstaden,Grøn,*
1203,10.6,18,Hovedstaden,Gul,*
1204,9.8,5,Hovedstaden,Grøn,*
1205,8.9,4,Hovedstaden,Grøn,*
1206,10.0,1,Hovedstaden,Gul,*
1207,9.5,8,Hovedstaden,Grøn,*
1208,9.2,27,Hovedstaden,Grøn,*
1209,8.8,14,Hovedstaden,Grøn,*
1210,8.4,24,Hovedstaden,Grøn,*
1211,9.0,10,Hovedstaden,Grøn,*
1212,4.2,3,Hovedstaden,Grøn,*
1213,7.1,3,Hovedstaden,Grøn,*
1214,9.2,2,Hovedstaden,Grøn,*
1215,6.5,13,Hovedstaden,Grøn,*
1216,8.5,23,Hovedstaden,Grøn,*
1218,8.0,36,Hovedstaden,Grøn,*
1219,6.8,16,Hovedstaden,Grøn,*
1220,8.9,44,Hovedstaden,Grøn,*
1221,8.4,13,Hovedstaden,Grøn,*
1250,8.5,38,Hovedstaden,Grøn,*
1251,10.9,10,Hovedstaden,Gul,*
1252,6.8,7,Hovedstaden,Grøn,*
1253,9.4,62,Hovedstaden,Grøn,
1254,9.7,28,Hovedstaden,Grøn,*
1255,9.2,20,Hovedstaden,Grøn,*
1256,9.2,29,Hovedstaden,Grøn,*
