Region,Hastegrad,Median_minutter,Antal_ture
Hovedstaden,A,9.1,237358
Hovedstaden,B,21.9,256427
Hovedstaden,C,27.2,846
Hovedstaden,D,29.1,789
Hovedstaden,E,29.9,333
Hovedstaden,F,29.4,2568
Hovedstaden,H,19.5,15
Hovedstaden,I,8.9,32
Hovedstaden,M,4.7,1
Hovedstaden,P,32.7,52
Hovedstaden,S,25.7,2218
Hovedstaden,T,12.5,5173
Midtjylland,A,8.5,187531
Midtjylland,B,19.1,171818
Nordjylland,A,10.2,85063
Nordjylland,B,18.4,96025
Sjælland,A,9.3,163489
Sjælland,B,17.5,151546
Syddanmark,A,7.0,202894
Syddanmark,B,11.4,160408
Syddanmark,C,9.9,188
Syddanmark,D,10.9,32
Syddanmark,E,,0
Syddanmark,L,19.9,1
Syddanmark,X,6.4,3
