Time_label,Median_minutter,Antal_ture,Kategori,Periode
00:00-01:00,12.3,9295,Gul,Nat
01:00-02:00,12.5,8237,Gul,Nat
02:00-03:00,12.8,7037,Gul,Nat
03:00-04:00,12.8,6456,Gul,Nat
04:00-05:00,12.8,6203,Gul,Nat
05:00-06:00,13.0,6589,Gul,Nat
06:00-07:00,13.2,7890,Gul,Morgen
07:00-08:00,12.8,10448,Gul,Morgen
08:00-09:00,11.7,17095,Gul,Morgen
09:00-10:00,11.8,18672,Gul,Formiddag
10:00-11:00,12.1,19234,Gul,Formiddag
11:00-12:00,12.2,19661,Gul,Formiddag
12:00-13:00,12.2,18345,Gul,Middag
13:00-14:00,12.2,16485,Gul,Eftermiddag
14:00-15:00,12.2,16341,Gul,Eftermiddag
15:00-16:00,12.3,14794,Gul,Eftermiddag
16:00-17:00,11.8,15078,Gul,Eftermiddag
17:00-18:00,11.8,15323,Gul,Eftermiddag
18:00-19:00,12.6,15460,Gul,Aften
19:00-20:00,12.6,15089,Gul,Aften
20:00-21:00,12.4,14729,Gul,Aften
21:00-22:00,12.3,13655,Gul,Aften
22:00-23:00,12.4,12505,Gul,Aften
23:00-00:00,12.5,10414,Gul,Aften
